Sex,Age,ChargeDegree,DaysInJail,DaysInCustody,Priors,Label
Male,34,F,2,3,5,1
Male,30,F,83,83,2,0
Male,39,F,2,3,6,1
Male,24,F,1,1,0,0
Male,33,M,0,1,1,1
Male,58,F,1,2,2,0
Female,21,M,0,1,0,0
Male,21,F,36,11,1,0
Male,23,M,11,4,5,1
Male,62,F,1,1,0,0
Male,27,M,0,1,6,1
Male,37,F,10,11,5,0
Male,43,F,7,8,2,1
Female,32,F,0,0,5,0
Male,23,F,45,14,0,0
Male,27,M,0,1,0,0
Male,44,M,1,1,0,1
Male,28,M,0,0,3,1
Female,42,F,1,19,0,0
Male,24,F,4,5,10,1
Male,27,F,17,17,0,0
Male,20,F,0,4,0,1
Female,51,M,1,1,0,0
Male,56,M,1,1,0,0
Male,29,F,1,1,7,0
Male,20,F,209,15,0,1
Male,53,F,174,174,6,0
Male,27,F,68,239,8,0
Male,24,F,19,53,3,1
Male,53,F,32,1,36,1
Male,28,M,1,1,2,1
Male,21,F,22,24,4,0
Female,36,F,12,12,0,0
Female,25,M,1,9,2,1
Female,23,M,0,10,1,0
Male,28,F,1,1,1,0
Female,21,F,1,0,0,1
Male,36,M,0,1,0,0
Male,24,F,0,1,0,0
Male,28,F,32,32,3,1
Male,30,F,0,1,1,1
Male,29,F,1,1,0,0
Female,30,M,3,4,0,0
Male,51,M,1,1,1,0
Male,33,F,3,3,3,0
Female,25,F,1,27,2,0
Male,32,F,1,2,13,1
Male,23,F,1,1,2,0
Male,47,F,0,1,3,0
Female,32,F,2,2,1,1
Male,37,F,19,2,0,0
Male,19,F,1,1,4,1
Male,27,M,2,2,0,0
Male,39,M,0,1,0,0
Female,21,F,0,0,2,0
Male,69,M,0,1,0,0
Male,21,F,2,3,2,0
Male,26,M,3,2,7,1
Male,22,F,0,0,0,0
Female,23,F,0,23,0,1
Male,49,F,3,5,3,0
Male,29,M,50,1,3,0
Female,60,M,0,1,0,0
Male,23,F,0,321,5,1
Male,34,M,207,208,2,1
Female,20,F,2,89,2,0
Male,36,F,95,0,1,0
Male,30,F,1,2,0,0
Male,21,F,0,0,2,0
Male,22,M,0,2,2,1
Male,21,F,219,220,4,1
Male,21,F,12,22,0,1
Male,34,M,0,0,1,0
Female,50,M,0,20,1,1
Male,40,F,8,8,0,1
Male,25,F,127,127,7,1
Female,53,M,0,1,1,0
Female,24,F,1,1,0,0
Male,42,F,4,4,1,0
Male,28,M,1,2,1,0
Male,24,M,36,36,1,0
Male,26,F,1,1,8,1
Male,22,F,260,198,4,1
Male,21,M,5,6,3,0
Male,37,F,17,70,23,1
Male,35,F,5,5,2,0
Male,53,F,0,1,2,0
Male,29,F,1,4,7,0
Male,48,F,360,280,24,1
Female,52,M,0,0,0,0
Male,27,F,31,46,12,1
Male,28,F,51,15,5,0
Male,33,M,0,0,3,0
Female,28,F,2,2,0,0
Male,47,F,291,4,5,1
Male,36,F,0,1,14,1
Male,29,F,1,2,3,0
Male,22,M,21,11,1,1
Male,26,F,0,48,8,0
Male,68,F,0,1,2,0
Male,56,F,12,143,5,0
Male,27,F,52,43,9,1
Male,52,F,7,110,4,1
Male,32,F,1,4,3,0
Male,60,F,1,1,4,0
Male,23,M,5,5,1,0
Female,39,M,0,1,0,0
Male,56,M,0,1,0,0
Female,22,F,0,0,0,0
Female,27,F,0,1,1,1
Male,53,F,110,110,11,0
Male,25,M,0,0,0,1
Male,21,M,0,0,0,0
Male,22,F,1,2,0,0
Female,58,M,1,17,2,0
Male,31,M,1,1,7,1
Male,22,F,0,290,1,1
Male,28,F,3,3,8,1
Male,42,F,2,2,1,0
Male,20,F,0,1,0,1
Male,29,M,5,5,0,1
Male,29,F,87,88,8,0
Male,58,M,59,4,21,1
Male,22,F,106,6,3,0
Male,48,M,0,1,1,1
Male,37,F,0,0,0,0
Male,57,F,25,118,1,1
Male,27,M,0,0,3,0
Male,26,F,33,1,3,0
Male,24,F,0,14,5,1
Male,33,F,1,1,0,0
Male,29,F,0,1,2,0
Female,24,F,1,100,3,1
Male,19,F,32,5,2,1
Male,36,M,0,1,2,0
Female,24,F,0,0,0,0
Male,34,M,0,0,0,0
Male,25,F,0,2,2,1
Male,20,F,1,159,3,1
Male,28,M,1,14,2,1
Male,24,M,1,1,1,1
Male,61,F,1,2,4,0
Female,50,F,0,0,3,0
Male,30,M,4,4,1,0
Male,38,F,1,1,5,0
Male,45,F,64,65,16,0
Female,46,F,9,1,2,1
Male,41,M,3,4,0,1
Male,20,F,22,24,1,1
Male,27,M,1,0,13,1
Female,51,F,66,66,16,0
Male,26,M,13,13,1,1
Male,29,F,1,1,3,1
Male,52,F,1,2,6,1
Male,28,F,4,22,1,1
Female,34,F,97,16,4,1
Male,55,F,118,119,5,1
Male,26,F,0,0,12,1
Male,28,F,1,1,5,0
Male,63,F,3,5,2,0
Male,42,F,1,1,0,0
Male,23,F,0,22,11,0
Male,54,F,5,2,28,1
Male,35,F,10,7,9,1
Female,24,F,26,3,7,1
Male,54,M,0,1,2,0
Male,58,M,3,4,12,1
Male,23,M,0,1,2,1
Male,35,M,0,1,1,0
Male,20,F,2,1,1,1
Male,51,F,35,35,0,0
Male,37,F,6,7,3,0
Male,34,F,1,1,4,1
Male,56,F,0,1,0,0
Male,34,F,31,1,4,1
Male,59,F,0,6,1,1
Male,35,F,101,101,0,0
Male,58,F,10,10,1,0
Male,29,M,0,1,2,0
Female,24,F,3,1,7,1
Male,21,M,8,9,6,1
Male,50,F,11,11,5,1
Male,26,F,1,1,1,0
Female,30,M,1,1,0,0
Male,29,F,18,54,6,1
Male,29,M,1,9,0,1
Male,54,M,1,1,0,0
Male,29,F,8,8,4,1
Female,59,M,0,1,0,0
Male,38,F,1,1,0,0
Female,22,F,18,19,2,1
Male,29,F,25,77,4,1
Male,27,M,1,6,1,1
Male,26,F,1,1,7,1
Male,52,F,27,3,20,0
Male,66,F,13,14,33,1
Male,27,F,0,0,2,0
Male,51,M,1,0,1,0
Male,35,F,74,74,1,0
Male,52,M,0,1,4,0
Female,35,M,0,0,12,0
Male,48,F,1,1,12,0
Female,26,M,1,1,0,0
Female,48,M,0,1,0,0
Male,30,M,37,38,7,0
Male,28,M,1,2,2,0
Male,33,M,0,1,2,0
Female,34,F,52,1,6,0
Male,25,M,0,0,0,0
Male,59,F,127,1,10,1
Male,29,F,2,2,5,1
Male,24,F,1,6,0,0
Male,48,F,129,129,1,1
Male,55,M,45,45,0,1
Male,52,M,1,1,4,0
Male,25,F,5,5,4,1
Male,24,F,15,15,0,0
Male,23,M,1,1434,0,0
Male,27,F,1,1,10,0
Male,25,M,0,1,2,1
Male,31,F,0,0,0,0
Male,25,F,4,10,7,1
Male,32,F,0,1,1,1
Male,21,F,0,0,0,1
Male,37,F,5,5,1,0
Male,25,F,0,15,0,0
Male,32,F,0,1,22,0
Male,35,F,2,2,0,0
Male,42,F,1,68,14,1
Male,24,M,10,355,10,1
Male,22,F,62,62,11,1
Male,21,F,0,214,0,1
Male,47,M,0,0,1,0
Male,27,F,1,0,5,1
Male,43,M,4,4,2,1
Male,46,F,0,1,2,1
Male,44,M,0,0,1,0
Male,23,F,0,1,2,0
Male,42,F,1,2,8,0
Male,58,F,144,58,6,0
Male,26,F,1,101,4,0
Female,48,F,17,17,0,0
Male,39,F,3,2,3,1
Male,21,F,0,41,5,1
Male,63,M,5,6,1,0
Male,22,F,7,8,4,1
Male,50,M,0,1,3,0
Male,38,F,9,10,0,0
Male,41,F,6,5,1,0
Male,28,F,1,25,25,1
Male,23,F,0,36,1,0
Male,25,F,12,11,2,1
Male,40,F,0,9,5,0
Male,24,F,0,0,8,0
Male,27,M,64,64,5,1
Male,44,M,180,180,11,0
Female,35,F,1,48,6,1
Male,42,M,0,0,0,0
Male,38,F,0,0,15,0
Male,26,F,0,0,4,0
Female,25,M,0,1,0,0
Male,64,F,7,8,1,0
Female,49,M,0,1,2,1
Male,50,F,1,26,5,1
Male,28,F,30,31,8,1
Male,66,M,0,1,0,1
Female,46,M,1,1,0,0
Male,30,F,1,1,6,1
Female,22,M,0,0,0,0
Male,23,M,9,1,1,0
Male,30,M,1,11,0,1
Male,24,F,17,17,11,1
Male,31,M,0,1,0,0
Male,31,F,0,1,1,0
Male,21,F,117,118,8,1
Male,28,F,52,52,4,0
Male,25,M,0,3,0,0
Female,21,F,2,2,0,0
Male,27,M,1,1,0,0
Male,20,M,1,1,0,1
Male,32,F,0,0,1,0
Female,24,F,0,1,1,0
Male,20,F,0,1,2,0
Male,31,M,19,1,3,1
Male,27,M,6,1,3,1
Male,59,F,58,28,17,1
Male,40,F,1,1,0,0
Male,22,F,0,1,11,1
Female,38,F,0,1,1,0
Male,36,M,39,59,1,1
Male,30,M,0,10,1,0
Male,27,F,34,1,6,1
Female,59,M,0,0,0,0
Male,37,M,1,1,2,0
Male,28,M,1,1,5,1
Male,38,F,0,0,0,0
Male,22,F,0,41,1,1
Male,43,M,41,41,1,0
Male,25,F,31,32,4,1
Male,51,M,0,0,0,0
Male,29,M,25,25,2,1
Male,28,F,0,8,10,0
Male,55,M,3,8,9,1
Female,23,F,5,53,3,0
Female,22,M,7,8,0,0
Female,19,F,22,48,2,1
Male,31,M,0,0,1,0
Male,29,M,0,1,0,0
Male,61,F,1,1,15,1
Male,24,F,0,3,4,1
Male,31,M,0,5,0,0
Male,20,F,2,109,6,1
Male,26,F,1,0,3,1
Male,27,M,1,1,5,0
Male,25,F,1,1,1,0
Male,23,F,9,9,5,1
Male,38,F,1,2,0,0
Male,27,F,0,153,21,1
Female,35,F,0,0,0,1
Male,22,F,16,16,0,0
Female,58,F,1,2,4,1
Female,57,M,1,2,0,1
Male,21,F,0,1,1,0
Female,22,F,1,1,0,0
Male,30,F,2,3,0,0
Male,24,F,37,34,1,1
Male,22,F,27,80,2,1
Male,29,F,38,11,3,1
Male,30,F,1,125,8,1
Female,31,F,0,1,10,0
Female,45,F,1,1,1,0
Male,23,F,89,90,4,0
Male,39,F,4,32,2,1
Male,31,F,1,3,0,1
Male,22,F,1,10,1,1
Female,27,F,65,48,9,1
Male,27,F,2,173,13,1
Male,38,F,0,2,1,1
Male,31,F,55,34,23,1
Male,47,F,1,2,20,0
Male,22,F,0,1,4,0
Male,35,M,79,75,2,1
Male,23,M,19,42,2,1
Male,65,M,5,40,2,1
Male,35,M,1,1,0,0
Female,33,F,1,160,0,0
Male,52,F,1,2,0,0
Male,21,F,0,14,0,0
Male,37,F,1,12,11,0
Male,30,M,0,7,4,1
Male,33,F,21,22,5,0
Male,54,F,0,0,0,0
Female,31,M,0,0,0,0
Female,59,F,29,29,2,0
Male,36,M,0,1,0,1
Male,46,F,6,6,17,1
Male,22,F,323,323,4,0
Female,28,M,0,1,0,0
Female,34,F,3,101,16,1
Male,29,F,0,14,7,1
Male,23,M,80,22,3,1
Male,27,F,0,1,3,0
Male,21,F,0,39,1,1
Male,48,F,0,39,3,1
Male,30,F,20,20,15,1
Female,32,F,0,0,2,0
Male,31,F,6,6,5,0
Male,36,M,2,2,5,0
Male,44,F,1,2,14,1
Male,33,M,1,1,3,1
Male,21,F,293,294,3,0
Male,33,F,339,1653,4,1
Male,47,F,2,1,2,1
Male,57,F,33,21,20,1
Male,28,M,6,6,2,0
Male,24,M,1,1,1,0
Male,44,F,1,1,1,0
Male,46,F,1,1,0,0
Male,37,F,1,1,6,0
Male,26,M,5,1,10,1
Male,27,F,0,2,11,1
Male,40,F,1,2,1,0
Female,60,F,384,385,9,1
Male,53,F,6,6,1,0
Male,26,F,40,5,9,0
Male,28,F,1,1,0,0
Male,23,M,0,0,0,0
Female,46,F,19,99,2,0
Male,23,F,1,3,0,1
Male,50,F,248,0,18,1
Male,45,M,1,2,0,0
Male,22,F,0,20,1,0
Male,26,F,16,19,1,1
Male,62,F,2,3,0,0
Male,34,M,0,33,0,1
Male,24,F,6,4,1,0
Male,21,M,1,1,0,0
Male,25,F,0,1,0,1
Male,68,M,3,3,0,0
Male,41,M,0,0,2,0
Female,37,F,1,2,1,0
Male,38,F,268,4,11,1
Male,42,F,0,1,1,0
Male,22,F,1,15,3,1
Male,45,F,2,27,0,1
Female,36,F,0,150,4,1
Male,48,F,1,1,2,0
Female,45,F,8,8,1,0
Male,23,F,8,8,7,1
Male,29,F,1,0,0,0
Male,50,F,2,2,11,0
Male,34,F,2,2,11,1
Female,22,M,2,2,0,0
Male,36,F,7,7,0,0
Male,30,F,3,3,22,1
Male,21,F,1,0,0,1
Female,53,F,1,4,0,0
Male,24,F,0,20,1,0
Male,25,M,0,0,9,1
Female,25,M,0,0,1,0
Male,71,F,24,25,8,0
Male,39,M,40,37,14,0
Female,37,F,37,37,0,0
Male,20,F,7,1,2,1
Female,29,F,0,1,3,0
Male,26,F,83,15,4,1
Female,47,F,30,155,19,1
Female,23,M,1,1,0,0
Female,20,F,17,17,1,1
Female,23,F,1,1,0,0
Male,27,M,0,1,3,0
Male,55,F,37,7,18,1
Female,53,F,0,0,0,0
Female,23,F,0,1,0,0
Male,26,F,22,22,6,1
Male,25,F,6,0,6,0
Male,23,M,1,13,2,0
Male,27,F,0,0,4,1
Male,26,M,0,0,2,0
Male,29,M,3,4,1,0
Male,27,F,0,1,1,1
Male,41,F,0,1,8,1
Male,47,M,0,0,0,0
Male,37,F,1,1,4,0
Female,35,F,2,2,4,0
Male,21,F,5,6,5,1
Male,22,F,2,3,0,1
Male,57,F,140,140,11,0
Male,48,F,11,11,0,0
Male,36,F,5,5,0,0
Female,37,F,28,28,3,0
Male,31,M,5,5,0,0
Male,22,F,4,4,2,1
Male,31,M,0,0,2,0
Male,24,F,0,6,0,1
Male,32,F,0,58,23,1
Male,63,M,0,1,0,0
Male,30,F,1,1,0,0
Male,26,F,27,1366,2,1
Male,20,F,1,1,2,0
Female,24,M,0,1,1,1
Female,36,M,0,1,1,0
Male,83,M,0,1,0,0
Male,28,F,0,0,2,0
Male,36,F,1,1,3,1
Female,33,M,1,2,0,0
Male,39,F,0,0,0,0
Male,29,M,0,0,3,0
Male,30,F,4,132,17,1
Female,19,M,1,1,3,1
Male,24,F,0,59,1,1
Male,36,F,78,3,11,0
Male,35,F,1,1,7,0
Male,24,F,0,1,1,0
Male,26,M,9,9,0,0
Male,26,F,2,2,8,0
Male,28,F,0,50,14,1
Male,32,M,0,1,0,0
Female,32,M,0,1,1,1
Male,33,M,5,6,5,1
Male,29,F,17,1668,17,0
Male,34,M,0,154,1,1
Female,37,M,0,1,0,1
Male,43,M,0,0,0,0
Male,47,F,0,0,2,0
Male,25,M,2,2,3,1
Female,23,F,1,2,1,0
Male,39,M,0,1,2,0
Male,35,F,5,5,13,1
Male,33,F,1,17,0,0
Male,21,F,1,1,0,1
Male,43,F,1,23,21,0
Male,25,F,0,9,5,1
Male,48,F,6,4,26,1
Male,22,M,1,1,2,1
Male,52,M,38,140,10,1
Male,26,F,35,16,5,1
Male,67,M,27,19,4,1
Male,34,M,1,1,4,0
Male,56,M,0,0,4,0
Male,28,F,5,165,1,1
Male,37,F,20,13,6,1
Male,43,F,1,1,3,0
Male,51,F,1,1,0,0
Male,20,M,0,4,2,1
Male,26,M,293,287,4,1
Female,39,M,10,1,1,1
Male,21,F,2,2,2,0
Male,21,F,2,58,3,1
Male,24,F,1,1,5,1
Male,26,M,1,1,5,1
Male,48,F,0,34,1,0
Male,24,F,1,1,6,1
Male,26,F,0,0,0,0
Male,24,M,1,10,9,0
Male,24,F,1,18,1,1
Male,36,M,1,31,9,0
Male,30,F,1,1588,5,1
Female,22,F,1,1,1,0
Male,25,F,9,21,0,1
Male,31,M,117,74,28,1
Male,24,F,2,36,0,0
Male,39,F,1,0,13,1
Male,46,F,5,1,0,0
Female,30,F,0,1,4,0
Male,40,F,22,22,0,0
Female,52,F,2,2,0,0
Male,23,F,33,55,5,0
Female,26,M,1,1,1,0
Male,22,F,19,11,2,1
Male,42,F,0,7,3,0
Male,23,F,135,2,10,1
Male,33,F,1,0,4,1
Male,28,F,2,2,1,0
Male,38,M,8,8,26,1
Male,32,F,1,1,1,0
Male,24,F,97,18,3,1
Male,51,F,1,1,3,0
Male,19,M,0,1,1,1
Male,32,F,108,108,4,0
Female,31,F,0,0,1,1
Female,29,F,179,180,1,0
Male,43,M,0,1,0,0
Male,26,F,11,14,9,1
Male,27,F,27,171,0,1
Male,52,F,3,47,1,1
Male,27,M,0,1,1,0
Female,57,M,0,1,1,0
Male,28,M,1,59,3,1
Male,32,F,2,3,3,1
Male,27,M,0,8,5,1
Male,45,M,3,3,0,1
Female,42,M,0,0,0,0
Male,33,F,0,1,0,1
Male,26,M,19,2,4,0
Female,28,M,45,45,4,0
Female,53,M,0,1,0,0
Male,28,F,8,9,1,0
Male,39,M,35,470,7,1
Male,22,F,0,58,1,1
Male,46,F,9,9,2,1
Male,25,M,1,1,0,0
Male,52,F,3,4,1,0
Male,28,M,0,191,4,1
Female,57,F,1,2,1,1
Male,49,F,0,1,3,1
Male,21,F,0,19,2,1
Male,32,F,14,15,19,1
Male,63,M,220,220,3,0
Male,29,F,1,2,2,0
Male,46,M,1,1,0,0
Male,23,F,44,33,5,1
Male,28,M,1,9,10,1
Male,27,F,3,7,1,0
Female,69,M,0,0,0,0
Male,47,M,1,1,0,0
Male,45,F,128,128,1,0
Female,33,M,0,0,1,0
Female,27,M,0,1,0,1
Male,47,F,32,33,4,1
Male,32,F,2,4,14,1
Male,24,F,1,1,2,0
Male,26,F,3,3,5,1
Male,25,F,1,7,1,0
Male,21,F,108,109,1,0
Male,22,F,2,1,8,1
Female,26,F,0,1,0,0
Male,20,F,1,1,0,0
Male,30,M,1,1,1,1
Male,45,F,1,82,0,1
Male,33,F,78,79,7,1
Male,35,F,0,1,2,0
Male,41,F,1,1,5,0
Male,23,M,2,2,0,0
Female,21,M,1,19,1,1
Male,54,F,1,2,0,0
Male,27,F,1,1,10,1
Male,22,M,1,1,0,0
Female,21,M,0,1,0,1
Male,23,F,6,1,2,1
Male,30,M,7,8,1,0
Male,36,M,19,55,5,1
Female,24,F,0,1,2,1
Male,29,F,23,17,11,1
Male,54,M,78,191,4,1
Male,22,M,13,37,2,1
Male,38,F,4,43,2,0
Male,26,M,0,1,0,1
Female,20,F,1,1,0,0
Male,52,M,1,1,6,1
Male,29,F,2,3,0,0
Female,23,M,17,18,6,0
Male,35,M,9,9,1,0
Male,32,F,0,4,8,1
Male,21,M,0,0,1,1
Male,25,F,0,1,0,0
Male,30,M,1,1,4,1
Female,30,F,26,26,3,0
Male,23,F,6,6,2,1
Male,32,F,2,2,9,0
Male,52,F,1,2,1,0
Male,29,F,39,2,6,1
Female,36,F,168,168,4,1
Female,22,M,0,1,0,0
Male,45,F,47,47,2,0
Male,30,F,2,51,6,1
Male,51,M,0,0,17,0
Male,45,F,2,2,20,1
Male,27,F,301,302,3,1
Male,24,F,13,14,1,1
Male,24,F,0,13,2,0
Male,23,M,5,5,2,0
Female,42,M,14,14,2,0
Male,36,F,0,1,5,0
Male,21,F,1,2,2,1
Male,59,M,0,1,1,0
Male,39,F,4,5,1,0
Male,29,F,37,38,2,0
Male,22,M,1,0,1,1
Male,44,F,0,0,6,0
